nohup: ignoring input
baseline  0 0 ef 64 recall 0.92758 qps 1028.41787824636
baseline  0 0 ef 96 recall 0.94352 qps 808.7296263804271
baseline  0 0 ef 128 recall 0.9496 qps 660.179735285344
baseline  0 0 ef 192 recall 0.95548 qps 485.13685006310476
baseline  0 0 ef 256 recall 0.95834 qps 385.0363029832771
baseline  0 0 ef 460 recall 0.96282 qps 238.4433926896767
batch_prefetch  0 0 ef 64 recall 0.92758 qps 1145.6728815225702
batch_prefetch  0 0 ef 96 recall 0.94352 qps 857.304077840926
batch_prefetch  0 0 ef 128 recall 0.9496 qps 689.9039512346727
batch_prefetch  0 0 ef 192 recall 0.95548 qps 505.1718249023097
batch_prefetch  0 0 ef 256 recall 0.95834 qps 399.6291296780558
batch_prefetch  0 0 ef 460 recall 0.96282 qps 246.5016823773549
batch_prefetch  0 0 ef 64 recall 0.92758 qps 1133.6440327268201
batch_prefetch  0 0 ef 96 recall 0.94352 qps 856.2732714793408
batch_prefetch  0 0 ef 128 recall 0.9496 qps 690.1242390963911
batch_prefetch  0 0 ef 192 recall 0.95548 qps 502.17530438210446
batch_prefetch  0 0 ef 256 recall 0.95834 qps 399.15710106852674
batch_prefetch  0 0 ef 460 recall 0.96282 qps 245.6999390240641
batch_prefetch  0 0 ef 64 recall 0.92758 qps 1097.7313995878483
batch_prefetch  0 0 ef 96 recall 0.94352 qps 818.4278066208159
batch_prefetch  0 0 ef 128 recall 0.9496 qps 657.6699259886269
batch_prefetch  0 0 ef 192 recall 0.95548 qps 479.5596665143074
batch_prefetch  0 0 ef 256 recall 0.95834 qps 380.269172418922
batch_prefetch  0 0 ef 460 recall 0.96282 qps 235.21335464986828
batch_prefetch  0 0 ef 64 recall 0.92758 qps 1051.49735102091
batch_prefetch  0 0 ef 96 recall 0.94352 qps 783.6169059073527
batch_prefetch  0 0 ef 128 recall 0.9496 qps 633.6830514890692
batch_prefetch  0 0 ef 192 recall 0.95548 qps 461.28840512957584
batch_prefetch  0 0 ef 256 recall 0.95834 qps 366.5986272378676
batch_prefetch  0 0 ef 460 recall 0.96282 qps 226.70376300971705
route_priority equal_interval 6 2 ef 64 recall 0.92758 qps 837.1568233755263
route_priority equal_interval 6 2 ef 96 recall 0.94352 qps 625.3394591341206
route_priority equal_interval 6 2 ef 128 recall 0.9496 qps 492.6016721780337
route_priority equal_interval 6 2 ef 192 recall 0.95548 qps 367.6497199097357
route_priority equal_interval 6 2 ef 256 recall 0.95834 qps 288.0851093416514
route_priority equal_interval 6 2 ef 460 recall 0.96282 qps 179.84066933176945
route_priority equal_interval 6 4 ef 64 recall 0.92758 qps 823.3307653764967
route_priority equal_interval 6 4 ef 96 recall 0.94352 qps 616.1998264158248
route_priority equal_interval 6 4 ef 128 recall 0.9496 qps 491.5264341872249
route_priority equal_interval 6 4 ef 192 recall 0.95548 qps 362.1849365913406
route_priority equal_interval 6 4 ef 256 recall 0.95834 qps 287.1417570216768
route_priority equal_interval 6 4 ef 460 recall 0.96282 qps 178.89200376714803
route_priority equal_interval 6 8 ef 64 recall 0.92758 qps 819.8287953508062
route_priority equal_interval 6 8 ef 96 recall 0.94352 qps 619.0302025156622
route_priority equal_interval 6 8 ef 128 recall 0.9496 qps 492.54666304089204
route_priority equal_interval 6 8 ef 192 recall 0.95548 qps 360.67045975515634
route_priority equal_interval 6 8 ef 256 recall 0.95834 qps 286.25538570264797
route_priority equal_interval 6 8 ef 460 recall 0.96282 qps 177.99858824586582
route_priority high_variance 6 2 ef 64 recall 0.92758 qps 836.7244435382627
route_priority high_variance 6 2 ef 96 recall 0.94352 qps 622.9623466771012
route_priority high_variance 6 2 ef 128 recall 0.9496 qps 493.59424416720907
route_priority high_variance 6 2 ef 192 recall 0.95548 qps 363.7257812658241
route_priority high_variance 6 2 ef 256 recall 0.95834 qps 287.054959639686
route_priority high_variance 6 2 ef 460 recall 0.96282 qps 178.30201285819243
route_priority high_variance 6 4 ef 64 recall 0.92758 qps 810.4728508496889
route_priority high_variance 6 4 ef 96 recall 0.94352 qps 611.6257132864766
route_priority high_variance 6 4 ef 128 recall 0.9496 qps 486.8799322663837
route_priority high_variance 6 4 ef 192 recall 0.95548 qps 358.48444277225764
