dataset,mode,route_bits,route_strategy,top_p,prefetch_distance,ef,graph_fingerprint,route_fingerprint,index_bytes,recall,qps,avg_latency_us,p50_us,p95_us,p99_us,route_top4_float_top1_coverage,route_top8_float_top4_coverage,visited_nodes,distance_computations,neighbors_seen,neighbors_unvisited,route_scored,priority_full_count,remaining_full_count,route_score_us,top_p_select_us,full_distance_us,queue_update_us,traversal_us,route_oracle_samples,route_top1_matches_float_top1,route_top4_contains_float_top1,route_top8_float_top4_hits,route_top8_float_top4_total
dbpedia,baseline,0,,0,8,64,10578023270251871138,0,1159832224,0.92758,1028.41787824636,969.58215396,957.9735000000001,1312.63675,1540.0955599999975,0.0,0.0,1274.476,1274.476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,877.4160421999985,0.0,0.0,0.0,0.0,0.0
dbpedia,baseline,0,,0,8,96,10578023270251871138,0,1159832224,0.94352,808.7296263804271,1233.72172112,1235.2615,1596.291,1849.3797699999996,0.0,0.0,1730.5306,1730.5306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1161.480641799999,0.0,0.0,0.0,0.0,0.0
dbpedia,baseline,0,,0,8,128,10578023270251871138,0,1159832224,0.9496,660.179735285344,1511.92039576,1518.0275000000001,1957.72805,2195.7107099999944,0.0,0.0,2161.1894,2161.1894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1452.9429080000016,0.0,0.0,0.0,0.0,0.0
dbpedia,baseline,0,,0,8,192,10578023270251871138,0,1159832224,0.95548,485.13685006310476,2058.40332092,2070.206,2709.4917499999997,2908.4177899999986,0.0,0.0,2977.8842,2977.8842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1979.9286486000046,0.0,0.0,0.0,0.0,0.0
dbpedia,baseline,0,,0,8,256,10578023270251871138,0,1159832224,0.95834,385.0363029832771,2594.264802,2608.1675,3457.441,3736.105199999997,0.0,0.0,3750.0314,3750.0314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2508.367181799995,0.0,0.0,0.0,0.0,0.0
dbpedia,baseline,0,,0,8,460,10578023270251871138,0,1159832224,0.96282,238.4433926896767,4191.00518,4206.1625,5700.58195,6122.154459999999,0.0,0.0,6028.8776,6028.8776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4094.4241322000003,0.0,0.0,0.0,0.0,0.0
dbpedia,batch_prefetch,0,,0,2,64,10578023270251871138,0,1159832224,0.92758,1145.6728815225702,870.08971672,870.9245000000001,1102.71495,1275.26674,0.0,0.0,1274.476,1274.476,1572.4744,1149.8738,0.0,0.0,1149.8738,0.0,0.0,659.0566596,33.07240280000014,800.6861012,0.0,0.0,0.0,0.0,0.0
dbpedia,batch_prefetch,0,,0,2,96,10578023270251871138,0,1159832224,0.94352,857.304077840926,1163.59951588,1167.9285,1482.5706,1654.456479999998,0.0,0.0,1730.5306,1730.5306,2316.4534,1605.9284,0.0,0.0,1605.9284,0.0,0.0,925.4783687999987,45.8920644,1101.163907799999,0.0,0.0,0.0,0.0,0.0
dbpedia,batch_prefetch,0,,0,2,128,10578023270251871138,0,1159832224,0.9496,689.9039512346727,1446.64522372,1451.7145,1863.3445,2055.1811899999993,0.0,0.0,2161.1894,2161.1894,3060.2412,2036.5872,0.0,0.0,2036.5872,0.0,0.0,1168.6969456000036,58.543180599999914,1378.6222274000006,0.0,0.0,0.0,0.0,0.0
dbpedia,batch_prefetch,0,,0,2,192,10578023270251871138,0,1159832224,0.95548,505.1718249023097,1976.50188012,1984.7015000000001,2591.76345,2823.5591099999997,0.0,0.0,2977.8842,2977.8842,4555.4248,2853.282,0.0,0.0,2853.282,0.0,0.0,1643.991895600003,82.05723259999988,1920.3641253999938,0.0,0.0,0.0,0.0,0.0
dbpedia,batch_prefetch,0,,0,2,256,10578023270251871138,0,1159832224,0.95834,399.6291296780558,2499.39763184,2509.139,3311.91545,3583.0642,0.0,0.0,3750.0314,3750.0314,6050.3076,3625.4292,0.0,0.0,3625.4292,0.0,0.0,2094.262025400009,105.50504619999947,2438.276468600002,0.0,0.0,0.0,0.0,0.0
dbpedia,batch_prefetch,0,,0,2,460,10578023270251871138,0,1159832224,0.96282,246.5016823773549,4053.42007992,4062.01,5503.79205,5945.61312,0.0,0.0,6028.8776,6028.8776,10818.8032,5904.2754,0.0,0.0,5904.2754,0.0,0.0,3323.866521000001,174.79713879999957,3861.415340400001,0.0,0.0,0.0,0.0,0.0
dbpedia,batch_prefetch,0,,0,4,64,10578023270251871138,0,1159832224,0.92758,1133.6440327268201,879.33125736,878.4860000000001,1121.4125000000001,1312.8214199999977,0.0,0.0,1274.476,1274.476,1572.4744,1149.8738,0.0,0.0,1149.8738,0.0,0.0,683.3519682000007,32.93080779999999,824.3036158000023,0.0,0.0,0.0,0.0,0.0
dbpedia,batch_prefetch,0,,0,4,96,10578023270251871138,0,1159832224,0.94352,856.2732714793408,1165.08606968,1168.8445000000002,1483.2712999999999,1672.6562799999997,0.0,0.0,1730.5306,1730.5306,2316.4534,1605.9284,0.0,0.0,1605.9284,0.0,0.0,930.188283999999,45.987567599999906,1103.1441398000009,0.0,0.0,0.0,0.0,0.0
dbpedia,batch_prefetch,0,,0,4,128,10578023270251871138,0,1159832224,0.9496,690.1242390963911,1446.098878,1452.0985,1854.88765,2048.9350299999987,0.0,0.0,2161.1894,2161.1894,3060.2412,2036.5872,0.0,0.0,2036.5872,0.0,0.0,1188.9337148,58.60639820000017,1395.9755763999974,0.0,0.0,0.0,0.0,0.0
dbpedia,batch_prefetch,0,,0,4,192,10578023270251871138,0,1159832224,0.95548,502.17530438210446,1988.377411,1998.021,2598.30615,2802.0798199999986,0.0,0.0,2977.8842,2977.8842,4555.4248,2853.282,0.0,0.0,2853.282,0.0,0.0,1638.086056800003,81.96365460000003,1912.7873920000027,0.0,0.0,0.0,0.0,0.0
dbpedia,batch_prefetch,0,,0,4,256,10578023270251871138,0,1159832224,0.95834,399.15710106852674,2502.28806348,2513.932,3307.3849,3579.0251899999994,0.0,0.0,3750.0314,3750.0314,6050.3076,3625.4292,0.0,0.0,3625.4292,0.0,0.0,2095.5127851999964,105.29505800000008,2430.533136400002,0.0,0.0,0.0,0.0,0.0
dbpedia,batch_prefetch,0,,0,4,460,10578023270251871138,0,1159832224,0.96282,245.6999390240641,4066.95949776,4078.3315000000002,5497.48205,5910.120579999998,0.0,0.0,6028.8776,6028.8776,10818.8032,5904.2754,0.0,0.0,5904.2754,0.0,0.0,3479.4276550000036,175.1430168000004,4017.910226799996,0.0,0.0,0.0,0.0,0.0
dbpedia,batch_prefetch,0,,0,8,64,10578023270251871138,0,1159832224,0.92758,1097.7313995878483,908.17716796,910.0305000000001,1145.0418,1316.7252299999996,0.0,0.0,1274.476,1274.476,1572.4744,1149.8738,0.0,0.0,1149.8738,0.0,0.0,697.6855790000005,33.07380679999998,838.9709041999988,0.0,0.0,0.0,0.0,0.0
dbpedia,batch_prefetch,0,,0,8,96,10578023270251871138,0,1159832224,0.94352,818.4278066208159,1219.01080672,1224.048,1546.6637,1728.84263,0.0,0.0,1730.5306,1730.5306,2316.4534,1605.9284,0.0,0.0,1605.9284,0.0,0.0,970.0146983999996,45.69023020000008,1144.8377343999985,0.0,0.0,0.0,0.0,0.0
dbpedia,batch_prefetch,0,,0,8,128,10578023270251871138,0,1159832224,0.9496,657.6699259886269,1517.6071668,1524.9695000000002,1943.3584499999997,2152.14763,0.0,0.0,2161.1894,2161.1894,3060.2412,2036.5872,0.0,0.0,2036.5872,0.0,0.0,1233.5849295999985,58.55989240000007,1442.7062735999975,0.0,0.0,0.0,0.0,0.0
dbpedia,batch_prefetch,0,,0,8,192,10578023270251871138,0,1159832224,0.95548,479.5596665143074,2082.28265152,2094.8545000000004,2715.2691499999996,2935.1364399999998,0.0,0.0,2977.8842,2977.8842,4555.4248,2853.282,0.0,0.0,2853.282,0.0,0.0,1733.6702274000031,81.87833240000036,2006.2752899999957,0.0,0.0,0.0,0.0,0.0
dbpedia,batch_prefetch,0,,0,8,256,10578023270251871138,0,1159832224,0.95834,380.269172418922,2626.7934356,2641.2495,3466.1555,3739.8910199999996,0.0,0.0,3750.0314,3750.0314,6050.3076,3625.4292,0.0,0.0,3625.4292,0.0,0.0,2207.533982200005,105.04092699999981,2546.098916200004,0.0,0.0,0.0,0.0,0.0
dbpedia,batch_prefetch,0,,0,8,460,10578023270251871138,0,1159832224,0.96282,235.21335464986828,4248.3714806,4267.0305,5728.2885,6144.58199,0.0,0.0,6028.8776,6028.8776,10818.8032,5904.2754,0.0,0.0,5904.2754,0.0,0.0,3610.3098481999978,174.67484539999998,4148.511324600004,0.0,0.0,0.0,0.0,0.0
dbpedia,batch_prefetch,0,,0,16,64,10578023270251871138,0,1159832224,0.92758,1051.49735102091,948.19809728,949.9929999999999,1208.5638499999998,1402.9000499999997,0.0,0.0,1274.476,1274.476,1572.4744,1149.8738,0.0,0.0,1149.8738,0.0,0.0,747.7783015999987,32.905898600000015,890.1469494000005,0.0,0.0,0.0,0.0,0.0
dbpedia,batch_prefetch,0,,0,16,96,10578023270251871138,0,1159832224,0.94352,783.6169059073527,1273.29287976,1281.0465,1624.42615,1828.9705699999984,0.0,0.0,1730.5306,1730.5306,2316.4534,1605.9284,0.0,0.0,1605.9284,0.0,0.0,1052.305634600002,46.00004999999995,1234.1748033999993,0.0,0.0,0.0,0.0,0.0
dbpedia,batch_prefetch,0,,0,16,128,10578023270251871138,0,1159832224,0.9496,633.6830514890692,1575.14863204,1586.813,2024.65055,2223.84516,0.0,0.0,2161.1894,2161.1894,3060.2412,2036.5872,0.0,0.0,2036.5872,0.0,0.0,1303.3747888000016,58.51706920000012,1510.3356372000042,0.0,0.0,0.0,0.0,0.0
dbpedia,batch_prefetch,0,,0,16,192,10578023270251871138,0,1159832224,0.95548,461.28840512957584,2164.99497908,2180.746,2832.33245,3054.013549999999,0.0,0.0,2977.8842,2977.8842,4555.4248,2853.282,0.0,0.0,2853.282,0.0,0.0,1821.6861745999988,81.89120860000008,2095.137195400007,0.0,0.0,0.0,0.0,0.0
dbpedia,batch_prefetch,0,,0,16,256,10578023270251871138,0,1159832224,0.95834,366.5986272378676,2724.71366072,2742.112,3615.3048,3892.574709999995,0.0,0.0,3750.0314,3750.0314,6050.3076,3625.4292,0.0,0.0,3625.4292,0.0,0.0,2308.4030522,105.1299289999999,2645.485191400001,0.0,0.0,0.0,0.0,0.0
dbpedia,batch_prefetch,0,,0,16,460,10578023270251871138,0,1159832224,0.96282,226.70376300971705,4407.98483704,4422.8150000000005,5998.43305,6450.08814,0.0,0.0,6028.8776,6028.8776,10818.8032,5904.2754,0.0,0.0,5904.2754,0.0,0.0,3775.6368718000062,174.75611439999963,4311.1769514000025,0.0,0.0,0.0,0.0,0.0
