dataset,layout,centroid_count,centroid_mode,M,efConstruction,ef,k,rerank_candidates,recall,qps,avg_latency_us,p50_us,p95_us,p99_us,visited_nodes,distance_computations,prepare_query_us,traversal_us,rerank_us,total_query_us,active_centroids,bytes_per_vector,quantization_mse,average_relative_distance_error,ns_per_distance,cycles_per_distance,run_index,graph_fingerprint,index_format_version
dbpedia_openai1536,sequential,1,eager,16,200,32,10,32,0.89534,1626.39,614.86,608,788,925,790.663,790.663,23.16,499.173,92.602,614.86,1,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,1,eager,16,200,64,10,64,0.94132,971.922,1028.89,1025,1283,1499,1274.48,1274.48,21.4853,846.346,161.053,1028.89,1,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,1,eager,16,200,96,10,96,0.9589,697.092,1434.53,1414,1750,3159,1730.53,1730.53,22.0095,1166.26,246.264,1434.53,1,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,1,eager,16,200,128,10,100,0.9659,577.773,1730.78,1720,2154,3244,2161.19,2161.19,22.1209,1451.47,257.148,1730.78,1,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,1,eager,16,200,192,10,100,0.97284,447.503,2234.62,2251,2856,3009,2977.88,2977.88,21.8728,1955.19,257.467,2234.62,1,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,1,eager,16,200,256,10,100,0.97636,360.673,2772.6,2786,3619,3854,3750.03,3750.03,21.905,2488.72,261.803,2772.6,1,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,1,eager,16,200,320,10,100,0.97822,305.937,3268.65,3289,4306,4554,4491.05,4491.05,21.9471,2980.15,266.365,3268.65,1,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,1,eager,16,200,460,10,100,0.98152,230.142,4345.15,4368,5825,6178,6028.88,6028.88,22.007,4046.06,276.888,4345.15,1,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,1,eager,16,200,640,10,100,0.9836,177.228,5642.44,5671,7640,8193,7889.97,7889.97,21.8907,5329.87,290.433,5642.44,1,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,1,lazy,16,200,32,10,32,0.89534,1612.25,620.253,610,790,937,790.663,790.663,13.5099,512.777,94.0648,620.253,1,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
