search_width,raw_hnsw_recall,raw_hnsw_qps,raw_hnsw_latency_us,hnsw_rabitq_d_recall,hnsw_rabitq_d_qps,hnsw_rabitq_d_latency_us,vamana_refine2_recall,vamana_refine2_qps,vamana_refine2_latency_us
10,0.8723,2009.4040107704054,497.66,0.83054,2222.13,450.019,0.8046,1578.6,633.473
11,0.8814,1922.0900037865172,520.267,0.85114,2188.48,456.939,0.82637,1851.38,540.137
12,0.8886,1825.723716881372,547.728,0.86416,2084.13,479.817,0.84162,1785.5,560.067
13,0.897,1745.0636511966775,573.045,0.87468,2009.95,497.525,0.85256,1713.81,583.494
14,0.9031,1670.8465678305226,598.499,0.88333,1927.15,518.901,0.8628,1646.0,607.534
15,0.9093,1601.8530235776745,624.277,0.89131,1850.48,540.4,0.87076,1578.06,633.688
16,0.9156,1541.6040390025823,648.675,0.89836,1800.86,555.29,0.87818,1531.15,653.106
17,0.9212,1483.6663175105266,674.006,0.90444,1739.08,575.018,0.88666,1479.31,675.991
18,0.9262,1425.2668455851647,701.623,0.91089,1688.55,592.226,0.89381,1430.45,699.082
19,0.9292,1381.7326651274163,723.729,0.91601,1643.9,608.31,0.89977,1385.11,721.966
20,0.9323,1336.4517206815904,748.25,0.92067,1601.71,624.333,0.9051,1344.56,743.736
21,0.9356,1290.4840993001703,774.903,0.92455,1501.06,666.196,0.90994,1301.75,768.198
22,0.9385,1250.4407803750823,799.718,0.92835,1486.43,672.752,0.9144,1265.85,789.982
23,0.9404,1220.364962345639,819.427,0.93203,1455.18,687.198,0.91782,1232.7,811.231
24,0.942,1182.7335100337198,845.499,0.93535,1414.63,706.899,0.92157,1200.01,833.324
25,0.9447,1147.444297316587,871.502,0.93828,1382.32,723.421,0.92478,1171.53,853.582
26,0.9462,1114.6706259767302,897.126,0.94134,1341.5,745.434,0.92789,1143.8,874.278
27,0.9481,1088.6735492608452,918.549,0.94392,1300.43,768.979,0.93161,1116.9,895.334
28,0.9491,1059.3613110655585,943.965,0.94609,1289.06,775.76,0.93383,1084.79,921.834
29,0.9515,1036.471354004718,964.812,0.949,1268.27,788.473,0.93618,1068.14,936.204
30,0.9538,1010.8136847999903,989.302,0.95072,1233.24,810.872,0.93874,1039.34,962.144
40,0.9676,813.643168651956,1229.04,0.96499,1013.02,987.145,0.95528,854.876,1169.76
50,0.9748,684.2378958316227,1461.48,0.97331,864.886,1156.22,0.9648,733.19,1363.9
60,0.9787,591.5514620194384,1690.47,0.97868,746.376,1339.81,0.97095,642.25,1557.03
70,0.983,522.0051260903382,1915.69,0.98187,670.165,1492.17,0.97589,576.898,1733.41
80,0.9847,468.9793602183568,2132.29,0.98443,601.171,1663.42,0.97881,525.281,1903.74
90,0.9868,426.4810621084371,2344.77,0.98619,545.478,1833.25,0.98111,478.962,2087.85
100,0.9882,390.8662377561151,2558.42,0.98758,505.143,1979.64,0.98321,442.468,2260.05
140,0.9918,295.2517611767554,3386.94,0.99093,401.7,2489.42,0.98825,352.961,2833.18
180,0.9934,239.47679110678985,4175.77,0.99236,334.503,2989.51,0.99028,295.954,3378.91
220,0.9946,202.54969556780753,4937.06,0.99335,289.493,3454.32,0.99148,256.233,3902.7
260,0.9956,175.7886317491848,5688.65,0.99409,254.981,3921.86,0.99233,227.916,4387.59
300,0.9962,156.08781500472168,6406.65,0.99451,228.651,4373.48,0.99291,204.542,4888.98
340,0.9969,140.51713114604368,7116.57,0.99482,208.099,4805.4,0.99341,185.07,5403.37
380,0.9971,128.0042599817722,7812.24,0.99512,190.992,5235.81,0.99402,169.654,5894.35
420,0.9974,117.78868239224101,8489.78,0.99525,176.64,5661.24,0.99432,157.796,6337.28
460,0.9977,109.00323085576255,9174.04,0.99535,164.805,6067.77,0.99461,146.174,6841.16
